"player_name","Name.Wyscout","marketval","position_tm","competition","team","player_id","foot","position_wy","passes","success_passes","pass_length","pass_mean_pos_x","pass_mean_pos_y","n_shots","totxg","totxa"
"Ablie Jallow","A. Jallow",NA,"Right Winger","French first division","Metz",376908,"left","Midfielder",40,33,954.677479273472,59.9,23.83,2,0.182,1.994
"Achraf Hakimi","A. Hakimi",5000000,"Right-Back","Spanish first division","Real Madrid",396475,"right","Defender",532,442,11023.6006367096,56.06,47.15,5,0.825,0.447
"Achraf Lazaar","A. Lazaar",1000000,"Left-Back","Italian first division","Benevento",218971,"left","Defender",143,107,3477.39925625561,58.15,12.63,6,0.475,0.23
"Adalberto Peñaranda","A. Peñaranda",2000000,"Left Winger","Spanish first division","Málaga",259946,"right","Forward",222,180,4025.61414211006,66.79,37.94,19,1.304,0.961
"Adam Lallana","A. Lallana",25000000,"Attacking Midfield","English first division","Liverpool",8140,"right","Midfielder",310,265,5520.06435567689,62.21,35.81,16,3.011,0.77
"Adam Marusic","A. Marušić",10000000,"Right-Back","Italian first division","Lazio",228928,"right","Midfielder",961,758,21737.5725213697,61.93,59.59,36,6.544,6.044
"Adam Masina","A. Masina",7000000,"Left-Back","Italian first division","Bologna",232822,"left","Defender",1273,1016,28202.1769847867,50.67,10.04,15,2.244,3.544
"Adam Ounas","A. Ounas",4500000,"Right Winger","Italian first division","Napoli",300830,"left","Forward",56,47,1377.6453689563,70.3,41.3,5,0.527,0.596
"Adam Smith","A. Smith",5000000,"Right-Back","English first division","AFC Bournemouth",8460,"right","Defender",920,763,19012.7833091615,55.38,49.59,12,0.795,2.675
"Adama Diakhaby","A. Diakhaby",5000000,"Left Winger","French first division","Monaco",276978,"left","Forward",192,141,4379.39676040027,70.76,26.19,12,3.822,1.041
"Adama Mbengue","A. Mbengue",3000000,"Left-Back","French first division","Caen",215281,"left","Defender",615,397,16824.552665384,54.04,10.76,15,0.533,4.286
"Adama Niane","A. Niane",3000000,"Centre-Forward","French first division","Troyes",219350,"right","Forward",460,344,8339.90294186081,63.57,32.46,67,17.579,2.237
"Adama Traoré","A. Traoré",7000000,"Attacking Midfield","French first division","Monaco",266917,"left","Midfielder",67,59,1159.05264025157,59.09,22.84,6,1.744,0.033
"Aday Benítez","Aday",2000000,"Left-Back","Spanish first division","Girona",6210,"right","Defender",822,610,22135.7163503417,62.4,27.97,27,1.246,2.169
"Adel Taarabt","A. Taarabt",1500000,"Central Midfield","Italian first division","Genoa",9080,"right","Midfielder",718,580,15127.9762784398,67.63,25.6,29,3.041,5.881
"Ademola Lookman","A. Lookman",12000000,"Second Striker","English first division","Everton",406682,"right","Midfielder",266,216,5391.47115332856,61.76,28.62,14,5.669,3.793
"Adnan Januzaj","A. Januzaj",12000000,"Right Winger","Spanish first division","Real Sociedad",261127,"left","Midfielder",502,395,12022.6314978323,69.92,37.46,55,13.699,9.222
"Adrián","Adrián",5000000,"Goalkeeper","English first division","West Ham United",3582,"right","Goalkeeper",290,214,13947.9382969112,14.75,36.57,0,13.601,12.23
"Adrián","Adrián",5000000,"Goalkeeper","English first division","West Ham United",3705,"left","Midfielder",980,821,24024.3971364807,52.09,28.46,28,13.601,12.23
"Adrián Diéguez","Adrián Diéguez",NA,"Centre-Back","Spanish first division","Deportivo Alavés",364870,"left","Defender",134,110,2976.58938014817,44.55,12.79,3,0.136,0
"Adrian Mariappa","A. Mariappa",1500000,"Centre-Back","English first division","Watford",8889,"right","Defender",934,769,23240.5608230524,36.8,44.57,8,0.267,0.085
"Adrián Marín","Adrián Marín",1000000,"Left-Back","Spanish first division","Villarreal",286994,"left","Defender",93,79,2045.49579557322,44.45,9.78,0,0,0.084
"Adrian Stoian","A. Stoian",1800000,"Left Winger","Italian first division","Crotone",21655,"right","Forward",994,669,24435.2795784017,57.88,19.22,21,1.875,3.773
"Adrien Hunou","A. Hunou",3500000,"Centre-Forward","French first division","Rennes",229124,"right","Midfielder",477,394,9097.84279440931,64.91,37.33,24,6.003,0.883
"Adrien Rabiot","A. Rabiot",50000000,"Central Midfield","French first division","PSG",209117,"left","Midfielder",2118,1968,44881.0818899941,51.93,29.69,23,1.234,6.573
"Adrien Silva","Adrien Silva",20000000,"Central Midfield","English first division","Leicester City",70403,"right","Midfielder",727,641,15880.9109447254,55.87,29.94,14,0.315,1.781
"Adrien Thomasson","A. Thomasson",8000000,"Attacking Midfield","French first division","Nantes",209028,"right","Midfielder",1270,989,26715.864672209,59.97,24.52,52,6.112,6.084
"Afriyie Acquah","A. Acquah",2000000,"Central Midfield","Italian first division","Torino",20812,"right","Midfielder",467,406,10684.4733249032,52.96,42.5,9,0.63,1.153
"Ahmed Hegazy","Ahmed Hegazy",5000000,"Centre-Back","English first division","West Bromwich Albion",119951,"right","Defender",1252,997,36275.962382622,33.73,30.69,17,0.159,0.45
"Ainsley Maitland-Niles","A. Maitland-Niles",7000000,"Right Midfield","English first division","Arsenal",279717,"right","Midfielder",547,475,11610.6297381446,53.1,27.03,5,0.355,1.956
"Alban Lafont","A. Lafont",18000000,"Goalkeeper","French first division","Toulouse",404213,"right","Goalkeeper",696,599,28324.4540699905,14.57,37.43,0,0,0.039
"Albano Bizzarri","A. Bizzarri",NA,"Goalkeeper","Italian first division","Udinese",20540,"right","Goalkeeper",636,516,25110.6750423494,13.68,35.72,0,0,0.036
"Alberto Aquilani","A. Aquilani",NA,"Central Midfield","Spanish first division","Las Palmas",20401,"right","Midfielder",958,816,24367.4481019121,47.88,36.37,11,0.383,0.736
"Alberto Bueno","Bueno",1500000,"Second Striker","Spanish first division","Málaga",3779,"right","Forward",95,76,2241.34997388496,57.46,28.59,5,0.217,0.999
"Alberto Grassi","A. Grassi",7000000,"Central Midfield","Italian first division","SPAL",134435,"right","Midfielder",736,632,14030.5317387185,53.9,30.85,35,4.704,1.411
"Alberto Moreno","Alberto Moreno",10000000,"Left-Back","English first division","Liverpool",4908,"left","Defender",799,672,19602.4443158629,54.03,10.23,11,0.786,1.678
"Alberto Paloschi","A. Paloschi",3500000,"Centre-Forward","Italian first division","SPAL",20661,"right","Forward",360,277,6999.48541093743,61.83,35.47,26,10.032,1.139
"Aleandro Rosi","A. Rosi",NA,"Right-Back","Italian first division","Genoa",20434,"right","Defender",604,424,13803.7687015576,56.33,59.13,11,1.064,0.774
"Aleix García","Aleix García",1000000,"Central Midfield","Spanish first division","Girona",282448,"right","Midfielder",483,419,12331.3609649855,46.79,33.31,7,0.242,0.722
"Aleix Vidal","Aleix Vidal",7500000,"Right Winger","Spanish first division","Barcelona",4256,"right","Midfielder",249,200,5152.07307312238,64.64,54.49,8,2.665,1.941
"Alejandro Gálvez","Gálvez",1500000,"Centre-Back","Spanish first division","Eibar",3970,"right","Defender",1049,892,28727.7253735272,36.88,41.37,9,0.146,0.161
"Aleksandar Katai","A. Katai",1250000,"Left Winger","Spanish first division","Deportivo Alavés",127719,"right","Midfielder",10,8,240.780348102479,65.45,28.37,1,0.021,0
"Aleksandar Kolarov","A. Kolarov",12000000,"Left-Back","Italian first division","Roma",8306,"left","Defender",2147,1725,53697.0715307172,56.2,8.18,37,1.978,12.273
"Aleksandar Tonev","A. Tonev",NA,"Left Winger","Italian first division","Crotone",99423,"right","Forward",116,71,2803.22204997472,55.88,33.11,10,1.164,0.366
"Alen Halilovic","A. Halilović",2500000,"Attacking Midfield","Spanish first division","Las Palmas",234527,"left","Midfielder",449,353,10296.4776713866,66.9,44.89,34,2.434,2.46
"Alessandro Bastoni","A. Bastoni",2500000,"Centre-Back","Italian first division","Atalanta",405597,"left","Defender",71,61,1557.92201590032,42.9,13.62,1,0.041,0.223
"Alessandro Deiola","A. Deiola",1300000,"Central Midfield","Italian first division","Cagliari",263591,"right","Midfielder",144,103,3137.30199553855,50.86,48.07,9,0.348,0.319
"Alessandro Matri","A. Matri",NA,"Centre-Forward","Italian first division","Sassuolo",20478,"right","Forward",186,147,3314.05605634171,65.3,28.8,26,7.525,1.974
"Alessandro Murgia","A. Murgia",6000000,"Central Midfield","Italian first division","Lazio",346908,"right","Midfielder",361,299,7207.72668570952,52.3,40.12,11,1.673,0.673
"Alessio Cerci","A. Cerci",2000000,"Right Winger","Italian first division","Hellas Verona",20947,"left","Forward",412,301,9069.66382900655,67.64,49.92,35,3.412,5.828
"Alessio Romagnoli","A. Romagnoli",40000000,"Centre-Back","Italian first division","Milan",397237,"right","Goalkeeper",0,0,0,NA,NA,0,0.438,0.239
"Alessio Romagnoli","A. Romagnoli",40000000,"Centre-Back","Italian first division","Milan",146588,"left","Defender",1429,1320,37206.4416694097,38.24,20.04,7,0.438,0.239
"Álex Alegría","Álex Alegría",NA,"Centre-Forward","Spanish first division","Levante",6914,"right","Forward",128,100,2000.52847343541,64.93,31.92,13,1.61,0.338
"Alex Cordaz","A. Cordaz",1000000,"Goalkeeper","Italian first division","Crotone",21494,"right","Goalkeeper",592,428,27276.6797176826,15.31,37.24,0,0,0.357
"Alex Ferrari","A. Ferrari",1500000,"Centre-Back","Italian first division","Hellas Verona",263433,"right","Defender",842,643,20462.6037548907,42.21,54.25,8,1.807,0.31
"Álex Granell","Álex Granell",5000000,"Defensive Midfield","Spanish first division","Girona",214062,"left","Midfielder",1552,1255,40833.9207049467,53.11,28.64,32,1.99,5.253
"Alex Iwobi","A. Iwobi",15000000,"Attacking Midfield","English first division","Arsenal",230020,"right","Midfielder",1164,1009,23800.1155855693,61.82,36.18,49,7.961,6.748
"Alex Oxlade-Chamberlain","A. Oxlade-Chamberlain",40000000,"Central Midfield","English first division","Arsenal",7868,"right","Midfielder",846,680,21920.4683689775,63.39,38.28,47,5.029,8.427
"Alex Pritchard","A. Pritchard",10000000,"Attacking Midfield","English first division","Huddersfield Town",8290,"right","Midfielder",339,254,7089.80740990472,64.45,38.32,17,2.071,3.16
"Alex Sandro","Alex Sandro",45000000,"Left-Back","Italian first division","Juventus",70084,"left","Defender",1447,1238,36529.1830001897,56.23,11.27,17,2.473,5.732
"Alexander Djiku","A. Djiku",8000000,"Centre-Back","French first division","Caen",229427,"right","Defender",1207,1026,30659.8433382858,38.22,20.6,13,0.095,0.062
"Alexander Esswein","A. Esswein",2000000,"Right Winger","German first division","Hertha BSC",15141,"right","Midfielder",220,171,5045.25526652687,63.87,35.45,9,1.016,0.5
"Alexander Hack","A. Hack",3000000,"Centre-Back","German first division","Mainz 05",221172,"left","Defender",592,481,16580.5874732364,36.37,21.28,11,0.132,0.266
"Alexander Isak","A. Isak",6000000,"Centre-Forward","German first division","Borussia Dortmund",399599,"right","Forward",21,16,314.209748478947,73.29,34.76,3,1.351,0.314
"Alexander Kacaniklic","A. Kačaniklić",1500000,"Right Winger","French first division","Nantes",8899,"left","Midfielder",88,68,1726.27335360074,67.32,41.42,2,0.282,0.471
"Alexander Meier","A. Meier",NA,"Second Striker","German first division","Eintracht Frankfurt",15254,"right","Forward",2,2,34.2195444572929,48.83,26.86,1,0.62,0
"Alexander Schwolow","A. Schwolow",6000000,"Goalkeeper","German first division","Freiburg",19525,"right","Goalkeeper",899,784,36330.1216460804,14.73,35.17,1,0.14,0.033
"Alexander Szymanowski","A. Szymanowski",2000000,"Left Winger","Spanish first division","Leganés",4683,"left","Midfielder",294,214,6182.41439061138,62.08,11.79,17,1.875,2.974
"Alexandre Lacazette","A. Lacazette",60000000,"Centre-Forward","English first division","Arsenal",25413,"right","Forward",657,520,11537.8523893115,69.95,36.49,63,21.944,9.419
"Alexandre Mendy","A. Mendy",2500000,"Centre-Forward","French first division","Bordeaux",274970,"right","Forward",138,115,2898.91026486696,70.68,33.95,23,8.123,1.509
"Alexandru Maxim","A. Maxim",2000000,"Attacking Midfield","German first division","Mainz 05",83836,"left","Midfielder",376,313,8934.66122107277,56.58,31.14,26,2.98,0.945
"Alexis Blin","A. Blin",6000000,"Defensive Midfield","French first division","Toulouse",253333,"right","Midfielder",727,594,16254.1822243354,52.08,36.78,9,0.292,2.394
"Alexis Sánchez","A. Sánchez",70000000,"Centre-Forward","English first division","Arsenal",3361,"right","Forward",1418,1076,31014.887349222,69.09,22.71,69,16.405,13.771
"Alfie Mawson","A. Mawson",15000000,"Centre-Back","English first division","Swansea City",246866,"right","Defender",1649,1404,49483.6281118571,34.78,20.89,12,1.127,0.901
"Alfred Duncan","A. Duncan",10000000,"Central Midfield","Italian first division","Sassuolo",22383,"left","Midfielder",722,535,18843.0448368389,59.69,17.15,34,3.761,4.678
"Alfred Gomis","A. Gomis",3000000,"Goalkeeper","Italian first division","SPAL",21098,"right","Goalkeeper",422,335,17994.1146382514,11.11,34.64,0,0,0.076
"Ali Adnan","Ali Adnan",1800000,"Left-Back","Italian first division","Udinese",131184,"left","Defender",639,477,15570.8998180062,49.72,13.97,6,0.358,2.257
"Alin Tosca","A. Toșca",1500000,"Centre-Back","Italian first division","Benevento",85113,"left","Defender",892,786,21059.3371955675,40.32,16.41,4,0.178,0.076
"Alisson","Alisson",60000000,"Goalkeeper","Italian first division","Roma",214220,"left","Goalkeeper",970,875,35735.4384268372,13.56,35.15,0,0,0.013
"Allan","Allan",33000000,"Defensive Midfield","Italian first division","Napoli",40726,"right","Midfielder",1746,1532,35263.2896412873,61.4,44.39,38,7.798,6.992
"Allan Saint-Maximin","A. Saint-Maximin",20000000,"Left Winger","French first division","Monaco",276211,"right","Forward",891,677,20390.7981275127,68.56,44.03,35,5.711,8.978
"Álvaro González","Álvaro González",9000000,"Centre-Back","Spanish first division","Villarreal",3695,"right","Defender",1390,1208,37813.4308343106,36.32,41.96,13,0.733,1.014
"Álvaro Jiménez","Álvaro Jiménez",NA,"Right Winger","Spanish first division","Getafe",278383,"right","Midfielder",130,80,3408.28550534333,70.38,53.34,8,0.934,1.443
"Álvaro Medrán","Medrán",1800000,"Central Midfield","Spanish first division","Valencia",247222,"right","Midfielder",471,396,12128.5129729562,52.86,35.82,15,1.852,1.635
"Álvaro Morata","Álvaro Morata",65000000,"Centre-Forward","English first division","Chelsea",3324,"right","Forward",567,430,12188.3429562418,70.74,31.78,86,26.031,5.497
"Álvaro Odriozola","Odriozola",25000000,"Right-Back","Spanish first division","Real Sociedad",278289,"right","Defender",1431,1217,31982.1962921249,60.14,60.22,9,0.955,7.23
"Aly Abeid","A. Abeid",NA,"Left-Back","Spanish first division","Levante",376565,"left","Defender",29,22,683.904472795188,45.62,8.35,0,0,0.229
"Amadou Diawara","A. Diawara",18000000,"Defensive Midfield","Italian first division","Napoli",374013,"right","Midfielder",696,654,14796.5229527133,50.41,31.08,6,0.163,0.912
"Amato Ciciretti","A. Ciciretti",2500000,"Right Winger","Italian first division","Benevento",134484,"left","Forward",309,230,7542.74672491872,63.87,51.69,25,1.92,0.611
"Ambroise Oyongo","A. Oyongo",NA,"Left-Back","French first division","Montpellier",125076,"left","Defender",78,57,2321.94472033747,56.57,6.96,1,0.06,0.105
"Amine Gouiri","A. Gouiri",4500000,"Centre-Forward","French first division","Olympique Lyonnais",449985,"right","Forward",18,14,433.082853257355,58.32,43.07,3,0.313,0.281
"Amine Harit","A. Harit",25000000,"Attacking Midfield","German first division","Schalke 04",372915,"right","Midfielder",757,631,15566.6467240973,64.1,32.19,26,5.681,7.7
"Anaitz Arbilla","Arbilla",2000000,"Centre-Back","Spanish first division","Eibar",4805,"right","Defender",1446,1211,46147.8932181297,42.22,25.99,7,0.056,0.561
"Anas Ouahim","A. Ouahim",NA,"Attacking Midfield","German first division","Köln",337799,"right","Midfielder",8,6,165.332210347985,61.95,52.28,1,0.105,0
"Anastasios Donis","A. Donis",3000000,"Right Winger","German first division","Stuttgart",233910,"right","Forward",196,135,5149.74110880186,71.02,38,33,7.858,4.821
"Ander Capa","Ander Capa",3000000,"Right-Back","Spanish first division","Eibar",4094,"right","Defender",1134,825,28658.7055298351,61.12,59.7,6,0.197,3.241
"Ander Herrera","Ander Herrera",30000000,"Central Midfield","English first division","Manchester United",3413,"right","Midfielder",1024,905,22362.1254691132,51.71,42.45,12,0.651,2.427
"André Ayew","A. Ayew",15000000,"Left Winger","English first division","West Ham United",25572,"left","Forward",533,441,9751.15771413382,60.06,40.06,22,4.453,2.943
"André Carrillo","A. Carrillo",6000000,"Central Midfield","English first division","Watford",70156,"right","Midfielder",823,645,17430.3992997792,61.25,45.59,24,3.298,5.866
"Andre Gray","A. Gray",15000000,"Centre-Forward","English first division","Watford",10663,"right","Forward",271,200,5138.59053204058,70.42,33.21,33,13.815,4.637
"André Hahn","A. Hahn",1500000,"Right Winger","German first division","Hamburger SV",15877,"right","Forward",295,169,7451.98915978175,67.6,44.39,35,4.656,1.538
"André Silva","André Silva",22000000,"Centre-Forward","Italian first division","Milan",135927,"right","Forward",304,235,5334.95717692744,69.63,34.26,30,5.723,1.446
"Andrea Barberis","A. Barberis",2000000,"Defensive Midfield","Italian first division","Crotone",20815,"right","Midfielder",968,753,20779.2919244754,52.29,42.95,15,1.762,2.164
"Andrea Belotti","A. Belotti",38000000,"Centre-Forward","Italian first division","Torino",21234,"right","Forward",514,393,9879.51746306723,67.14,29.88,79,12.809,9.183
"Andrea Bertolacci","A. Bertolacci",7500000,"Central Midfield","Italian first division","Genoa",20749,"left","Midfielder",1536,1279,36365.279122836,52.99,28.4,16,2.47,3.077
"Andrea Consigli","A. Consigli",5000000,"Goalkeeper","Italian first division","Sassuolo",20832,"right","Goalkeeper",608,508,25148.3110987997,12.16,35.38,0,0,0.027
"Andrea Conti","A. Conti",15000000,"Right-Back","Italian first division","Milan",134419,"right","Defender",84,72,1834.2139002328,54.57,56.24,1,0.153,0.204
"Andrea Cossu","A. Cossu",NA,"Attacking Midfield","Italian first division","Cagliari",20874,"right","Midfielder",101,69,2548.77474882507,66.49,30.55,1,0.168,0.04
"Andrea Costa","A. Costa",NA,"Centre-Back","Italian first division","Benevento",20609,"left","Defender",653,539,17232.8690845434,34.87,18.08,6,0.152,0.138
"Andrea Danzi","A. Danzi",NA,"Defensive Midfield","Italian first division","Hellas Verona",523089,"right","Midfielder",186,173,4342.27123806298,47.86,32.95,0,0,0.086
"Andrea Masiello","A. Masiello",3000000,"Centre-Back","Italian first division","Atalanta",20841,"right","Defender",1815,1586,49584.6616316158,39.82,24.26,21,2.273,0.462
"Andrea Nalini","A. Nalini",1000000,"Right Winger","Italian first division","Crotone",272878,"right","Forward",488,335,11717.1553448246,60.22,25.33,21,1.952,5.64
"Andrea Petagna","A. Petagna",9000000,"Centre-Forward","Italian first division","Atalanta",246175,"left","Forward",476,374,10508.2050838089,70.12,39.88,39,6.53,5.688
"Andrea Pinamonti","A. Pinamonti",2000000,"Centre-Forward","Italian first division","Internazionale",405608,"right","Forward",3,3,47.6665246785891,71.75,46.24,2,0.179,0
"Andrea Poli","A. Poli",4000000,"Central Midfield","Italian first division","Bologna",20529,"right","Midfielder",1203,1093,24675.7193980562,51.33,46.79,13,4.878,1.019
"Andrea Raggi","A. Raggi",NA,"Centre-Back","French first division","Monaco",20677,"right","Defender",603,490,15879.5075203588,46.34,22.04,5,1.125,0.219
"Andreas Beck","A. Beck",3000000,"Right-Back","German first division","Stuttgart",15798,"right","Defender",870,646,22321.742897385,55.35,60.01,7,0.26,2.586
"Andreas Christensen","A. Christensen",40000000,"Centre-Back","English first division","Chelsea",135103,"right","Defender",1458,1371,39497.5402813664,37.24,37.32,10,0,0.143
"Andreas Cornelius","A. Cornelius",3000000,"Centre-Forward","Italian first division","Atalanta",135150,"left","Forward",274,205,5902.97662478745,70.01,36.96,27,4.757,2.703
"Andreas Pereira","Andreas Pereira",6000000,"Attacking Midfield","Spanish first division","Valencia",240445,"right","Midfielder",383,266,9139.8759034877,63.91,31.3,14,1.788,3.483
"Andrei Girotto","Andrei Girotto",2000000,"Centre-Back","French first division","Nantes",43515,"right","Midfielder",605,486,14711.2280668082,52.8,37.93,28,1.307,1.364
"Andrés Guardado","A. Guardado",5000000,"Central Midfield","Spanish first division","Real Betis",3384,"left","Midfielder",1547,1350,38409.3691400962,55.97,32.32,33,3.142,8.1
"Andrew Hjulsager","A. Hjulsager",NA,"Attacking Midfield","Spanish first division","Celta de Vigo",135113,"right","Midfielder",7,5,198.802353654911,78.07,28.22,1,0.042,0
"Andrew Robertson","A. Robertson",25000000,"Left-Back","English first division","Liverpool",222220,"left","Defender",1493,1257,34864.0481362997,57.3,9.17,12,1.135,6.392
"Andrew Surman","A. Surman",2500000,"Central Midfield","English first division","AFC Bournemouth",8351,"left","Midfielder",1108,971,26574.8706127058,49.58,31.57,18,1.897,0.953
"Andrija Balic","A. Balić",3500000,"Central Midfield","Italian first division","Udinese",300669,"right","Midfielder",519,434,12172.3159652872,52.17,34.39,15,1.273,0.54
"Andros Townsend","A. Townsend",15000000,"Right Winger","English first division","Crystal Palace",8471,"left","Midfielder",1059,803,24337.2746473931,67.86,44.12,59,5.881,15.01
"Andy Carroll","A. Carroll",10000000,"Centre-Forward","English first division","West Ham United",7970,"left","Forward",183,129,4484.17360098206,63.02,34.48,23,2.644,0.926
"Andy Delort","A. Delort",4000000,"Centre-Forward","French first division","Toulouse",25745,"right","Forward",644,422,14703.0576126692,70.38,33.7,59,12.69,5.509
"Andy King","A. King",3000000,"Central Midfield","English first division","Leicester City",8498,"right","Midfielder",614,523,13979.4452317811,53.68,36.41,15,0.829,0.513
"Ángel Correa","Á. Correa",24000000,"Right Winger","Spanish first division","Atlético Madrid",254408,"right","Forward",857,642,16615.9691928286,64.29,43.52,45,12.35,6.009
"Ángel Di María","Á. di María",40000000,"Right Winger","French first division","PSG",3314,"left","Midfielder",1191,892,28851.1375040933,68.39,39.9,94,24.206,12.271
"Angelo Fulgini","A. Fulgini",3500000,"Attacking Midfield","French first division","Angers",256992,"right","Midfielder",633,508,12826.593000475,62.76,40.03,31,4.908,4.539
"Angelo Ogbonna","A. Ogbonna",9000000,"Centre-Back","English first division","West Ham United",21100,"left","Defender",1042,873,28707.2295228194,35.24,25.96,6,0.239,0.866
"Ante Budimir","A. Budimir",1500000,"Centre-Forward","Italian first division","Crotone",69513,"left","Forward",298,221,5362.37780426177,65.63,32,32,6.671,2.65
"Ante Rebic","A. Rebić",10000000,"Left Winger","German first division","Eintracht Frankfurt",69616,"right","Forward",575,343,12682.7630801401,70.2,24,52,8.652,7.761
"Anthony Knockaert","A. Knockaert",8000000,"Right Winger","English first division","Brighton & Hove Albion",25950,"left","Midfielder",1008,814,22036.6736225493,61.33,50.26,40,7.61,4.025
"Anthony Martial","A. Martial",65000000,"Centre-Forward","English first division","Manchester United",134513,"right","Forward",773,623,15555.6900471108,69.62,20.28,50,10.451,10.744
"Anthony Ujah","A. Ujah",2000000,"Centre-Forward","German first division","Mainz 05",15201,"right","Forward",40,20,823.712847097656,69.65,29.89,7,1.065,0.173
"Antonin Barak","A. Barák",14000000,"Attacking Midfield","Italian first division","Udinese",265172,"left","Midfielder",1112,923,24715.2377916311,56.72,37.83,37,5.348,6.725
"Antonino Ragusa","A. Ragusa",1500000,"Left Winger","Italian first division","Sassuolo",22699,"right","Forward",221,165,5224.34978943195,66.8,28.89,22,5.647,1.279
"Antonio Adán","Adán",5000000,"Goalkeeper","Spanish first division","Real Betis",3296,"left","Goalkeeper",872,733,31046.2136785768,12.94,32.6,0,0,1.019
"Antonio Barragán","Barragán",2500000,"Right-Back","Spanish first division","Real Betis",3270,"right","Defender",1350,1114,30269.7486977237,54.7,60.09,6,1.339,6.207
"Antonio Barreca","A. Barreca",3500000,"Left-Back","Italian first division","Torino",300373,"left","Defender",195,163,4137.90822245898,50.86,8.9,1,0,0.113
"Antonio Caracciolo","A. Caracciolo",NA,"Centre-Back","Italian first division","Hellas Verona",22093,"right","Defender",967,830,26748.3520854622,30.94,39.86,15,0.548,1.736
"Antonio Luna","Luna",2000000,"Left-Back","Spanish first division","Levante",3464,"left","Defender",766,552,19178.233864567,48.45,9.79,3,0.305,3.571
"Antonio Mirante","A. Mirante",1000000,"Goalkeeper","Italian first division","Bologna",20483,"right","Goalkeeper",727,630,29523.2032825293,13.56,35.27,0,0,0.01
"Antonio Rüdiger","A. Rüdiger",40000000,"Centre-Back","English first division","Chelsea",14748,"right","Defender",1711,1558,45001.0471985476,39.41,23.09,15,0.142,0.043
"Antonio Rukavina","A. Rukavina",1000000,"Right-Back","Spanish first division","Villarreal",15214,"right","Defender",538,455,13049.3651244465,48.92,37.67,1,0.147,1.285
"Antonio Sanabria","A. Sanabria",7500000,"Centre-Forward","Spanish first division","Real Betis",225946,"right","Forward",141,111,2611.7251551455,65.17,34.35,20,9.725,0.302
"Antonio Valencia","A. Valencia",8000000,"Right-Back","English first division","Manchester United",7938,"right","Defender",1643,1395,37660.2206904589,54.21,59.52,14,0.854,2.537
"Anwar El Ghazi","A. El Ghazi",5000000,"Right Winger","French first division","Lille",286553,"right","Forward",550,407,11883.2282182398,66.24,40.68,49,6.822,5.372
"Aristóteles Romero","A. Romero",NA,"Defensive Midfield","Italian first division","Crotone",293198,"right","Midfielder",50,36,1360.62972662371,50.4,27.91,0,0.126,0.024
"Aritz Elustondo","Aritz Elustondo",5000000,"Centre-Back","Spanish first division","Real Sociedad",278288,"right","Defender",937,824,24185.458393979,39.18,51.26,10,0.098,0.518
"Arjen Robben","A. Robben",7000000,"Right Winger","German first division","Bayern München",14727,"left","Midfielder",753,640,15552.9512896201,70.83,53.34,43,8.321,7.31
