"row_id","player_name","marketval","position_tm","competition","team","Name.Wyscout"
"23","Adam Ounas",4500000,"Right Winger","Italian first division","Napoli","A. Ounas"
"24","Adam Smith",5000000,"Right-Back","English first division","AFC Bournemouth","A. Smith"
"25","Adama Diakhaby",5000000,"Left Winger","French first division","Monaco","A. Diakhaby"
"26","Adama Mbengue",3000000,"Left-Back","French first division","Caen","A. Mbengue"
"27","Adama Niane",3000000,"Centre-Forward","French first division","Troyes","A. Niane"
"28","Adama Soumaoro",3000000,"Centre-Back","French first division","Lille","A. Soumaoro"
"29","Adama Traoré",7000000,"Attacking Midfield","French first division","Monaco","A. Traoré"
"30","Aday Benítez",2000000,"Left-Back","Spanish first division","Girona","Aday"
"31","Adel Taarabt",1500000,"Central Midfield","Italian first division","Genoa","A. Taarabt"
"32","Ademola Lookman",12000000,"Second Striker","English first division","Everton","A. Lookman"
"33","Adnan Januzaj",12000000,"Right Winger","Spanish first division","Real Sociedad","A. Januzaj"
"34","Adrián",5000000,"Goalkeeper","English first division","West Ham United","Adrián"
"35","Adrián Diéguez",NA,"Centre-Back","Spanish first division","Deportivo Alavés","Adrián Diéguez"
"36","Adrián López",4000000,"Centre-Forward","Spanish first division","Deportivo La Coruña","Adrián López"
"37","Adrian Mariappa",1500000,"Centre-Back","English first division","Watford","A. Mariappa"
"38","Adrián Marín",1000000,"Left-Back","Spanish first division","Villarreal","Adrián Marín"
"39","Adrián Sahibeddine",NA,"Attacking Midfield","French first division","Dijon","A. Sahibeddine"
"40","Adrian Stoian",1800000,"Left Winger","Italian first division","Crotone","A. Stoian"
"41","Adrien Hunou",3500000,"Centre-Forward","French first division","Rennes","A. Hunou"
"42","Adrien Rabiot",50000000,"Central Midfield","French first division","PSG","A. Rabiot"
"43","Adrien Silva",20000000,"Central Midfield","English first division","Leicester City","Adrien Silva"
"44","Adrien Tamèze",4000000,"Defensive Midfield","French first division","Nice","A. Tameze"
"45","Adrien Thomasson",8000000,"Attacking Midfield","French first division","Nantes","A. Thomasson"
"46","Afonso Figueiredo",NA,"Left-Back","French first division","Rennes","Afonso Figueiredo"
"47","Afriyie Acquah",2000000,"Central Midfield","Italian first division","Torino","A. Acquah"
"48","Ager Aketxe",2500000,"Attacking Midfield","Spanish first division","Athletic Club","Ager Aketxe"
"49","Ahmad Benali",2500000,"Central Midfield","Italian first division","Crotone","A. Benali"
"50","Ahmed Hegazy",5000000,"Centre-Back","English first division","West Bromwich Albion","Ahmed Hegazy"
"51","Aílton",1500000,"Left-Back","German first division","Stuttgart","Ailton"
"52","Ainsley Maitland-Niles",7000000,"Right Midfield","English first division","Arsenal","A. Maitland-Niles"
"53","Aïssa Mandi",9000000,"Centre-Back","Spanish first division","Real Betis","A. Mandi"
"54","Aitor Ruibal",NA,"Right-Back","Spanish first division","Real Betis","Aitor Ruibal"
"55","Alassane Plea",18000000,"Left Winger","French first division","Nice","A. Pléa"
"56","Alban Lafont",18000000,"Goalkeeper","French first division","Toulouse","A. Lafont"
"57","Albano Bizzarri",NA,"Goalkeeper","Italian first division","Udinese","A. Bizzarri"
"58","Alberto Aquilani",NA,"Central Midfield","Spanish first division","Las Palmas","A. Aquilani"
"59","Alberto Brignoli",1000000,"Goalkeeper","Italian first division","Benevento","A. Brignoli"
"60","Alberto Bueno",1500000,"Second Striker","Spanish first division","Málaga","Bueno"
"61","Alberto de la Bella",1200000,"Left-Back","Spanish first division","Real Sociedad","De La Bella"
"62","Alberto Grassi",7000000,"Central Midfield","Italian first division","SPAL","A. Grassi"
"63","Alberto López",NA,"Left-Back","Spanish first division","Málaga","Alberto López"
"64","Alberto Moreno",10000000,"Left-Back","English first division","Liverpool","Alberto Moreno"
"65","Alberto Paloschi",3500000,"Centre-Forward","Italian first division","SPAL","A. Paloschi"
"66","Alberto Redondo",NA,"Centre-Back","Spanish first division","Getafe","Alberto Redondo"
"67","Aldo One",NA,"Centre-Back","Spanish first division","Deportivo La Coruña","One"
"68","Aleandro Rosi",NA,"Right-Back","Italian first division","Genoa","A. Rosi"
"69","Aleix García",1000000,"Central Midfield","Spanish first division","Girona","Aleix García"
"70","Aleix Vidal",7500000,"Right Winger","Spanish first division","Barcelona","Aleix Vidal"
"71","Alejandro Arribas",2000000,"Centre-Back","Spanish first division","Deportivo La Coruña","A. Arribas"
"72","Alejandro Gálvez",1500000,"Centre-Back","Spanish first division","Eibar","Gálvez"
"73","Aleksandar Dragovic",10000000,"Centre-Back","English first division","Leicester City","A. Dragović"
"74","Aleksandar Katai",1250000,"Left Winger","Spanish first division","Deportivo Alavés","A. Katai"
"75","Aleksandar Kolarov",12000000,"Left-Back","Italian first division","Roma","A. Kolarov"
"76","Aleksandar Mitrović",15000000,"Centre-Forward","English first division","Newcastle United","A. Mitrović"
"77","Aleksandar Tonev",NA,"Left Winger","Italian first division","Crotone","A. Tonev"
"78","Alen Halilovic",2500000,"Attacking Midfield","Spanish first division","Las Palmas","A. Halilović"
"79","Alessandro Bastoni",2500000,"Centre-Back","Italian first division","Atalanta","A. Bastoni"
"80","Alessandro Buongiorno",NA,"Centre-Back","Italian first division","Torino","A. Buongiorno"
"81","Alessandro Deiola",1300000,"Central Midfield","Italian first division","Cagliari","A. Deiola"
"82","Alessandro Gamberini",NA,"Centre-Back","Italian first division","Chievo","A. Gamberini"
"83","Alessandro Matri",NA,"Centre-Forward","Italian first division","Sassuolo","A. Matri"
"84","Alessandro Murgia",6000000,"Central Midfield","Italian first division","Lazio","A. Murgia"
"85","Alessio Cerci",2000000,"Right Winger","Italian first division","Hellas Verona","A. Cerci"
"86","Alessio Cragno",9000000,"Goalkeeper","Italian first division","Cagliari","A. Cragno"
"87","Alessio Romagnoli",40000000,"Centre-Back","Italian first division","Milan","A. Romagnoli"
"88","Álex Alegría",NA,"Centre-Forward","Spanish first division","Levante","Álex Alegría"
"89","Álex Berenguer",5000000,"Left Winger","Italian first division","Torino","Álex Berenguer"
"90","Alex Cordaz",1000000,"Goalkeeper","Italian first division","Crotone","A. Cordaz"
"91","Alex Ferrari",1500000,"Centre-Back","Italian first division","Hellas Verona","A. Ferrari"
"92","Álex Granell",5000000,"Defensive Midfield","Spanish first division","Girona","Álex Granell"
"93","Alex Iwobi",15000000,"Attacking Midfield","English first division","Arsenal","A. Iwobi"
"94","Alex McCarthy",2500000,"Goalkeeper","English first division","Southampton","A. McCarthy"
"95","Alex Meret",12000000,"Goalkeeper","Italian first division","SPAL","A. Meret"
"96","Álex Mozo",NA,"Central Midfield","Spanish first division","Leganés","Mozo"
"97","Álex Mula",NA,"Left Winger","Spanish first division","Málaga","Álex Mula"
"98","Alex Oxlade-Chamberlain",40000000,"Central Midfield","English first division","Arsenal","A. Oxlade-Chamberlain"
"99","Alex Pritchard",10000000,"Attacking Midfield","English first division","Huddersfield Town","A. Pritchard"
"100","Álex Robles",NA,"Right-Back","Spanish first division","Málaga","Alex Robles"
"101","Alex Sandro",45000000,"Left-Back","Italian first division","Juventus","Alex Sandro"
"102","Alexander Djiku",8000000,"Centre-Back","French first division","Caen","A. Djiku"
"103","Alexander Esswein",2000000,"Right Winger","German first division","Hertha BSC","A. Esswein"
"104","Alexander Hack",3000000,"Centre-Back","German first division","Mainz 05","A. Hack"
"105","Alexander Isak",6000000,"Centre-Forward","German first division","Borussia Dortmund","A. Isak"
"106","Alexander Kacaniklic",1500000,"Right Winger","French first division","Nantes","A. Kačaniklić"
"107","Alexander Meier",NA,"Second Striker","German first division","Eintracht Frankfurt","A. Meier"
"108","Alexander Nübel",NA,"Goalkeeper","German first division","Schalke 04","A. Nübel"
"109","Alexander Schwolow",6000000,"Goalkeeper","German first division","Freiburg","A. Schwolow"
"110","Alexander Söderlund",1500000,"Centre-Forward","French first division","Saint-Étienne","A. Søderlund"
"111","Alexander Sörloth",7000000,"Centre-Forward","English first division","Crystal Palace","A. Sørloth"
"112","Alexander Szymanowski",2000000,"Left Winger","Spanish first division","Leganés","A. Szymanowski"
"113","Alexandre Lacazette",60000000,"Centre-Forward","English first division","Arsenal","A. Lacazette"
"114","Alexandre Letellier",1000000,"Goalkeeper","French first division","Angers","A. Letellier"
"115","Alexandre Mendy",2500000,"Centre-Forward","French first division","Bordeaux","A. Mendy"
"116","Alexandre Oukidja",NA,"Goalkeeper","French first division","Strasbourg","A. Oukidja"
"117","Alexandru Maxim",2000000,"Attacking Midfield","German first division","Mainz 05","A. Maxim"
"118","Alexis Blin",6000000,"Defensive Midfield","French first division","Toulouse","A. Blin"
"119","Alexis Ruano",1500000,"Centre-Back","Spanish first division","Deportivo Alavés","Alexis"
"120","Alexis Sánchez",70000000,"Centre-Forward","English first division","Arsenal","A. Sánchez"
"121","Alfie Mawson",15000000,"Centre-Back","English first division","Swansea City","A. Mawson"
"122","Alfonso Pedraza",5000000,"Left-Back","Spanish first division","Deportivo Alavés","Alfonso Pedraza"
"123","Alfred Duncan",10000000,"Central Midfield","Italian first division","Sassuolo","A. Duncan"
"124","Alfred Gomis",3000000,"Goalkeeper","Italian first division","SPAL","A. Gomis"
"125","Alfred N'Diaye",5000000,"Defensive Midfield","Spanish first division","Villarreal","A. N'Diaye"
"126","Ali Adnan",1800000,"Left-Back","Italian first division","Udinese","Ali Adnan"
"127","Alin Tosca",1500000,"Centre-Back","Italian first division","Benevento","A. Toșca"
"128","Alisson",60000000,"Goalkeeper","Italian first division","Roma","Alisson"
"129","Allan",33000000,"Defensive Midfield","Italian first division","Napoli","Allan"
"130","Allan Nyom",4500000,"Right-Back","English first division","West Bromwich Albion","A. Nyom"
"131","Allan Saint-Maximin",20000000,"Left Winger","French first division","Monaco","A. Saint-Maximin"
"132","Aloïs Confais",NA,"Defensive Midfield","French first division","Troyes","A. Confais"
"133","Alphonse Areola",15000000,"Goalkeeper","French first division","PSG","A. Aréola"
"134","Álvaro González",9000000,"Centre-Back","Spanish first division","Villarreal","Álvaro González"
"135","Álvaro Jiménez",NA,"Right Winger","Spanish first division","Getafe","Álvaro Jiménez"
"136","Álvaro Medrán",1800000,"Central Midfield","Spanish first division","Valencia","Medrán"
"137","Álvaro Morata",65000000,"Centre-Forward","English first division","Chelsea","Álvaro Morata"
"138","Álvaro Odriozola",25000000,"Right-Back","Spanish first division","Real Sociedad","Odriozola"
"139","Aly Abeid",NA,"Left-Back","Spanish first division","Levante","A. Abeid"
"140","Amadou Diawara",18000000,"Defensive Midfield","Italian first division","Napoli","A. Diawara"
"141","Amath Ndiaye",5000000,"Left Winger","Spanish first division","Getafe","A. Ndiaye"
"142","Amato Ciciretti",2500000,"Right Winger","Italian first division","Benevento","A. Ciciretti"
"143","Ambroise Oyongo",NA,"Left-Back","French first division","Montpellier","A. Oyongo"
"144","Amine Gouiri",4500000,"Centre-Forward","French first division","Olympique Lyonnais","A. Gouiri"
"145","Amine Harit",25000000,"Attacking Midfield","German first division","Schalke 04","A. Harit"
"146","Anaitz Arbilla",2000000,"Centre-Back","Spanish first division","Eibar","Arbilla"
"147","Anas Ouahim",NA,"Attacking Midfield","German first division","Köln","A. Ouahim"
"148","Anastasios Donis",3000000,"Right Winger","German first division","Stuttgart","A. Donis"
"149","Ander Capa",3000000,"Right-Back","Spanish first division","Eibar","Ander Capa"
"150","Ander Herrera",30000000,"Central Midfield","English first division","Manchester United","Ander Herrera"
"151","Ander Iturraspe",5000000,"Defensive Midfield","Spanish first division","Athletic Club","Iturraspe"
"152","Andoni Gorosabel",1000000,"Right-Back","Spanish first division","Real Sociedad","Andoni Gorosabel"
"153","Andoni López",NA,"Left-Back","Spanish first division","Athletic Club","Andoni López"
"154","André Ayew",15000000,"Left Winger","English first division","West Ham United","A. Ayew"
"155","André Carrillo",6000000,"Central Midfield","English first division","Watford","A. Carrillo"
"156","Andre Gray",15000000,"Centre-Forward","English first division","Watford","A. Gray"
"157","André Hahn",1500000,"Right Winger","German first division","Hamburger SV","A. Hahn"
"158","André Ramalho",4500000,"Centre-Back","German first division","Bayer Leverkusen","André Ramalho"
"159","André Silva",22000000,"Centre-Forward","Italian first division","Milan","André Silva"
"160","Andrea Barberis",2000000,"Defensive Midfield","Italian first division","Crotone","A. Barberis"
"161","Andrea Belotti",38000000,"Centre-Forward","Italian first division","Torino","A. Belotti"
"162","Andrea Bertolacci",7500000,"Central Midfield","Italian first division","Genoa","A. Bertolacci"
"163","Andrea Consigli",5000000,"Goalkeeper","Italian first division","Sassuolo","A. Consigli"
"164","Andrea Conti",15000000,"Right-Back","Italian first division","Milan","A. Conti"
"165","Andrea Cossu",NA,"Attacking Midfield","Italian first division","Cagliari","A. Cossu"
"166","Andrea Costa",NA,"Centre-Back","Italian first division","Benevento","A. Costa"
"167","Andrea Danzi",NA,"Defensive Midfield","Italian first division","Hellas Verona","A. Danzi"
"168","Andrea Masiello",3000000,"Centre-Back","Italian first division","Atalanta","A. Masiello"
"169","Andrea Nalini",1000000,"Right Winger","Italian first division","Crotone","A. Nalini"
"170","Andrea Petagna",9000000,"Centre-Forward","Italian first division","Atalanta","A. Petagna"
"171","Andrea Pinamonti",2000000,"Centre-Forward","Italian first division","Internazionale","A. Pinamonti"
"172","Andrea Poli",4000000,"Central Midfield","Italian first division","Bologna","A. Poli"
"173","Andrea Raggi",NA,"Centre-Back","French first division","Monaco","A. Raggi"
"174","Andrea Ranocchia",5000000,"Centre-Back","Italian first division","Internazionale","A. Ranocchia"
"175","Andreas Beck",3000000,"Right-Back","German first division","Stuttgart","A. Beck"
"176","Andreas Christensen",40000000,"Centre-Back","English first division","Chelsea","A. Christensen"
"177","Andreas Cornelius",3000000,"Centre-Forward","Italian first division","Atalanta","A. Cornelius"
"178","Andreas Luthe",NA,"Goalkeeper","German first division","Augsburg","A. Luthe"
"179","Andreas Pereira",6000000,"Attacking Midfield","Spanish first division","Valencia","Andreas Pereira"
"180","Andreaw Gravillon",1000000,"Centre-Back","Italian first division","Benevento","A. Gravillon"
"181","Andrei Girotto",2000000,"Centre-Back","French first division","Nantes","Andrei Girotto"
"182","Andrés Fernández",NA,"Goalkeeper","Spanish first division","Villarreal","Andrés Fernández"
"183","Andrés Guardado",5000000,"Central Midfield","Spanish first division","Real Betis","A. Guardado"
"184","Andrés Prieto",NA,"Goalkeeper","Spanish first division","Málaga","Andrés"
"185","Andreu Fontàs",3000000,"Centre-Back","Spanish first division","Celta de Vigo","Fontàs"
"186","Andrew Hjulsager",NA,"Attacking Midfield","Spanish first division","Celta de Vigo","A. Hjulsager"
"187","Andrew Robertson",25000000,"Left-Back","English first division","Liverpool","A. Robertson"
"188","Andrew Surman",2500000,"Central Midfield","English first division","AFC Bournemouth","A. Surman"
"189","Andrey Galabinov",1200000,"Centre-Forward","Italian first division","Genoa","A. Galabinov"
"190","Andrija Balic",3500000,"Central Midfield","Italian first division","Udinese","A. Balić"
"191","Andros Townsend",15000000,"Right Winger","English first division","Crystal Palace","A. Townsend"
"192","Andy Carroll",10000000,"Centre-Forward","English first division","West Ham United","A. Carroll"
"193","Andy Delort",4000000,"Centre-Forward","French first division","Toulouse","A. Delort"
"194","Andy King",3000000,"Central Midfield","English first division","Leicester City","A. King"
"195","Ángel Correa",24000000,"Right Winger","Spanish first division","Atlético Madrid","Á. Correa"
"196","Ángel Di María",40000000,"Right Winger","French first division","PSG","Á. di María"
"197","Ángel Rangel",1000000,"Right-Back","English first division","Swansea City","Àngel Rangel"
"198","Ángel Rodríguez",4000000,"Centre-Forward","Spanish first division","Getafe","Ángel"
"199","Angelo da Costa",NA,"Goalkeeper","Italian first division","Bologna","Angelo da Costa"
"200","Angelo Fulgini",3500000,"Attacking Midfield","French first division","Angers","A. Fulgini"
"201","Angelo Ogbonna",9000000,"Centre-Back","English first division","West Ham United","A. Ogbonna"
"202","Ante Budimir",1500000,"Centre-Forward","Italian first division","Crotone","A. Budimir"
"203","Ante Rebic",10000000,"Left Winger","German first division","Eintracht Frankfurt","A. Rebić"
"204","Anthony Gonçalves",NA,"Central Midfield","French first division","Strasbourg","A. Gonçalves"
"205","Anthony Knockaert",8000000,"Right Winger","English first division","Brighton & Hove Albion","A. Knockaert"
"206","Anthony Lopes",20000000,"Goalkeeper","French first division","Olympique Lyonnais","A. Lopes"
"207","Anthony Martial",65000000,"Centre-Forward","English first division","Manchester United","A. Martial"
"208","Anthony Ribelin",NA,"Right Midfield","French first division","Rennes","A. Ribelin"
"209","Anthony Ujah",2000000,"Centre-Forward","German first division","Mainz 05","A. Ujah"
"210","Anthony Walongwa",NA,"Centre-Back","French first division","Nantes","A. Walongwa"
"211","Anto Grgic",1500000,"Central Midfield","German first division","Stuttgart","A. Grgic"
"212","Antonin Barak",14000000,"Attacking Midfield","Italian first division","Udinese","A. Barák"
"213","Antonino Ragusa",1500000,"Left Winger","Italian first division","Sassuolo","A. Ragusa"
"214","Antonio Adán",5000000,"Goalkeeper","Spanish first division","Real Betis","Adán"
"215","Antonio Barragán",2500000,"Right-Back","Spanish first division","Real Betis","Barragán"
"216","Antonio Barreca",3500000,"Left-Back","Italian first division","Torino","A. Barreca"
"217","Antonio Caracciolo",NA,"Centre-Back","Italian first division","Hellas Verona","A. Caracciolo"
"218","Antonio Luna",2000000,"Left-Back","Spanish first division","Levante","Luna"
"219","Antonio Mirante",1000000,"Goalkeeper","Italian first division","Bologna","A. Mirante"
"220","Antonio Rüdiger",40000000,"Centre-Back","English first division","Chelsea","A. Rüdiger"
"221","Antonio Rukavina",1000000,"Right-Back","Spanish first division","Villarreal","A. Rukavina"
"222","Antonio Sanabria",7500000,"Centre-Forward","Spanish first division","Real Betis","A. Sanabria"
"223","Antonio Santurro",NA,"Goalkeeper","Italian first division","Bologna","A. Santurro"
"224","Antonio Sivera",1000000,"Goalkeeper","Spanish first division","Deportivo Alavés","Antonio Sivera"
"225","Antonio Valencia",8000000,"Right-Back","English first division","Manchester United","A. Valencia"
"226","Anwar El Ghazi",5000000,"Right Winger","French first division","Lille","A. El Ghazi"
"227","Aristóteles Romero",NA,"Defensive Midfield","Italian first division","Crotone","A. Romero"
"228","Aritz Elustondo",5000000,"Centre-Back","Spanish first division","Real Sociedad","Aritz Elustondo"
"229","Arjen Robben",7000000,"Right Winger","German first division","Bayern München","A. Robben"
"230","Armando Izzo",8500000,"Centre-Back","Italian first division","Genoa","A. Izzo"
"231","Arnaud Lusamba",2000000,"Central Midfield","French first division","Nice","A. Lusamba"
"232","Arnaud Souquet",4500000,"Right-Back","French first division","Nice","A. Souquet"
"233","Arne Maier",7500000,"Central Midfield","German first division","Hertha BSC","A. Maier"
"234","Arnold Bouka Moutou",NA,"Left-Back","French first division","Dijon","A. Bouka Moutou"
"235","Aron Jóhannsson",1750000,"Centre-Forward","German first division","Werder Bremen","A. Jóhannsson"
"236","Arona Sané",NA,"Right Winger","Spanish first division","Atlético Madrid","A. Sané"
"237","Arthur Masuaku",7000000,"Left-Back","English first division","West Ham United","A. Masuaku"
"238","Artur Ionita",3500000,"Central Midfield","Italian first division","Cagliari","A. Ioniţă"
"239","Arturo Vidal",35000000,"Central Midfield","German first division","Bayern München","A. Vidal"
"240","Ashley Barnes",8000000,"Centre-Forward","English first division","Burnley","A. Barnes"
"241","Ashley Westwood",4000000,"Defensive Midfield","English first division","Burnley","A. Westwood"
"242","Ashley Williams",5000000,"Centre-Back","English first division","Everton","A. Williams"
"243","Ashley Young",7000000,"Right-Back","English first division","Manchester United","A. Young"
"244","Asier Illarramendi",20000000,"Defensive Midfield","Spanish first division","Real Sociedad","Illarramendi"
"245","Asier Riesgo",NA,"Goalkeeper","Spanish first division","Eibar","Asier Riesgo"
"246","Asmir Begovic",8000000,"Goalkeeper","English first division","AFC Bournemouth","A. Begović"
"247","Assane Dioussé",5000000,"Defensive Midfield","French first division","Saint-Étienne","A. Dioussé"
"248","Augusto Fernández",2500000,"Central Midfield","Spanish first division","Atlético Madrid","A. Fernández"
"249","Axel Werner",1000000,"Goalkeeper","Spanish first division","Atlético Madrid","A. Werner"
"250","Aymen Abdennour",4000000,"Centre-Back","French first division","Olympique Marseille","A. Abdennour"
"251","Aymen Barkok",2000000,"Central Midfield","German first division","Eintracht Frankfurt","A. Barkok"
"252","Aymeric Laporte",50000000,"Centre-Back","English first division","Manchester City","A. Laporte"
"253","Ayoze Pérez",10000000,"Second Striker","English first division","Newcastle United","Ayoze Pérez"
"254","Aythami Artiles",NA,"Centre-Back","Spanish first division","Las Palmas","Aythami Artiles"
"255","Badou Ndiaye",15000000,"Central Midfield","English first division","Stoke City","B. N'Diaye"
"256","Baissama Sankoh",NA,"Defensive Midfield","French first division","Caen","B. Sankoh"
"257","Bakary Koné",1500000,"Centre-Back","French first division","Strasbourg","B. Koné"
"258","Bakary Sako",5000000,"Left Winger","English first division","Crystal Palace","B. Sako"
"259","Bakaye Dibassy",4000000,"Centre-Back","French first division","Amiens SC","B. Dibassy"
"260","Bakery Jatta",NA,"Right Winger","German first division","Hamburger SV","B. Jatta"
"261","Baptiste Guillaume",2000000,"Centre-Forward","French first division","Angers","B. Guillaume"
"262","Baptiste Reynet",5000000,"Goalkeeper","French first division","Dijon","B. Reynet"
"263","Baptiste Santamaria",3000000,"Central Midfield","French first division","Angers","B. Santamaria"
"264","Bartlomiej Dragowski",2000000,"Goalkeeper","Italian first division","Fiorentina","B. Drągowski"
"265","Bartosz Bereszynski",12000000,"Right-Back","Italian first division","Sampdoria","B. Bereszyński"
"266","Bartosz Salamon",1400000,"Centre-Back","Italian first division","SPAL","B. Salamon"
"267","Bassem Srarfi",3000000,"Right Winger","French first division","Nice","B. Srarfi"
"268","Bastian Oczipka",7000000,"Left-Back","German first division","Schalke 04","B. Oczipka"
"269","Bastos",6500000,"Centre-Back","Italian first division","Lazio","Bastos"
"270","Bebé",1000000,"Left Winger","Spanish first division","Eibar","Bebé"
"271","Ben Chilwell",8000000,"Left-Back","English first division","Leicester City","B. Chilwell"
"272","Ben Davies",25000000,"Left-Back","English first division","Tottenham Hotspur","B. Davies"
"273","Ben Foster",3000000,"Goalkeeper","English first division","West Bromwich Albion","B. Foster"
"274","Ben Hamer",NA,"Goalkeeper","English first division","Leicester City","B. Hamer"
"275","Ben Mee",10000000,"Centre-Back","English first division","Burnley","B. Mee"
"276","Ben Watson",1000000,"Central Midfield","English first division","Watford","B. Watson"
"277","Ben Woodburn",5000000,"Attacking Midfield","English first division","Liverpool","B. Woodburn"
"278","Beñat Etxebarria",4000000,"Central Midfield","Spanish first division","Athletic Club","Beñat"
"279","Beni Baningime",3000000,"Central Midfield","English first division","Everton","B. Baningime"
"280","Benik Afobe",10000000,"Centre-Forward","English first division","AFC Bournemouth","B. Afobe"
"281","Benito Ramírez",NA,"Left Winger","Spanish first division","Las Palmas","Benito Ramírez"
"282","Benjamin André",10000000,"Defensive Midfield","French first division","Rennes","B. André"
"283","Benjamin Bourigeaud",12000000,"Right Midfield","French first division","Rennes","B. Bourigeaud"
"284","Benjamin Corgnet",1000000,"Attacking Midfield","French first division","Strasbourg","B. Corgnet"
"285","Benjamin Henrichs",12000000,"Right-Back","German first division","Bayer Leverkusen","B. Henrichs"
"286","Benjamin Hübner",8000000,"Centre-Back","German first division","Hoffenheim","B. Hübner"
"287","Benjamin Jeannot",2500000,"Centre-Forward","French first division","Dijon","B. Jeannot"
"288","Benjamin Lecomte",6000000,"Goalkeeper","French first division","Montpellier","B. Lecomte"
"289","Benjamin Mendy",40000000,"Left-Back","English first division","Manchester City","B. Mendy"
"290","Benjamin Nivet",NA,"Attacking Midfield","French first division","Troyes","B. Nivet"
"291","Benjamin Pavard",30000000,"Right-Back","German first division","Stuttgart","B. Pavard"
"292","Benjamin Stambouli",9000000,"Defensive Midfield","German first division","Schalke 04","B. Stambouli"
"293","Benno Schmitz",1000000,"Right-Back","German first division","RB Leipzig","B. Schmitz"
"294","Benoît Assou-Ekotto",1000000,"Left-Back","French first division","Metz","B. Assou-Ekotto"
"295","Benoît Costil",6500000,"Goalkeeper","French first division","Bordeaux","B. Costil"
"296","Berat Djimsiti",1000000,"Centre-Back","Italian first division","Benevento","B. Djimsiti"
"297","Berkay Özcan",2500000,"Central Midfield","German first division","Stuttgart","B. Özcan"
"298","Bernardo",6000000,"Centre-Back","German first division","RB Leipzig","Bernardo"
"299","Bernardo Espinosa",7000000,"Centre-Back","Spanish first division","Girona","Bernardo Espinosa"
"300","Bernardo Silva",50000000,"Attacking Midfield","English first division","Manchester City","Bernardo Silva"
"301","Bernd Leno",20000000,"Goalkeeper","German first division","Bayer Leverkusen","B. Leno"
"302","Bertrand Traoré",18000000,"Right Winger","French first division","Olympique Lyonnais","B. Traoré"
"303","Billy Ketkeophomphone",2000000,"Centre-Forward","French first division","Angers","B. Ketkeophomphone"
"304","Bingourou Kamara",2500000,"Goalkeeper","French first division","Strasbourg","B. Kamara"
"305","Birk Risa",NA,"Centre-Back","German first division","Köln","B. Risa"
"306","Boaz Myhill",1000000,"Goalkeeper","English first division","West Bromwich Albion","G. Myhill"
"307","Bobby Wood",2000000,"Centre-Forward","German first division","Hamburger SV","B. Wood"
"308","Bongani Zungu",3500000,"Central Midfield","French first division","Amiens SC","B. Zungu"
"309","Borja Bastón",2000000,"Centre-Forward","Spanish first division","Málaga","Borja Bastón"
"310","Borja García",3500000,"Attacking Midfield","Spanish first division","Girona","Borja García"
"311","Borja Herrera",NA,"Attacking Midfield","Spanish first division","Las Palmas","Borja Herrera"
"312","Borja Lasso",1000000,"Attacking Midfield","Spanish first division","Sevilla","Borja Lasso"
"313","Borja Mayoral",7500000,"Centre-Forward","Spanish first division","Real Madrid","Borja Mayoral"
"314","Borja Valero",4000000,"Central Midfield","Italian first division","Internazionale","Borja Valero"
"315","Borja Valle",1200000,"Left Winger","Spanish first division","Deportivo La Coruña","Borja Valle"
"316","Bostjan Cesar",NA,"Centre-Back","Italian first division","Chievo","B. Cesar"
